Datum od,Datum do,Čas od,Čas do,ID pobočky,Název pobočky,Region,Typ požadavku,Zdroj
2026-02-16,2026-02-16,09:00,17:00,19,Rosice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-16,2026-02-16,13:30,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-17,2026-02-17,09:00,16:15,326,Choceň,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-17,2026-02-17,13:30,14:45,613,Milevsko,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-17,2026-02-17,14:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-17,2026-02-17,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-17,2026-02-17,13:30,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-18,2026-02-18,09:00,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-18,2026-02-18,09:00,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-20,2026-02-20,09:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-20,2026-02-20,13:30,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-20,2026-02-20,09:00,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-20,2026-02-20,15:45,16:15,556,Plzeň - Skvrňany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-24,2026-02-24,09:00,12:45,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-25,2026-02-25,08:45,10:30,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-25,2026-02-25,08:45,09:45,556,Plzeň - Skvrňany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-25,2026-02-25,09:00,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-25,2026-02-25,09:00,12:45,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-26,2026-02-26,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-02-28,2026-02-28,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-01,2026-03-01,08:30,18:30,672,Olomouc - OC Šantovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-01,2026-03-01,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-02,2026-03-02,09:00,17:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-02,2026-03-02,09:00,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-03,2026-03-03,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-03,2026-03-03,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-03,2026-03-03,15:45,16:15,556,Plzeň - Skvrňany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-04,2026-03-04,09:00,17:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-04,2026-03-04,11:30,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-04,2026-03-04,13:30,17:15,573,Březnice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-05,2026-03-05,09:00,17:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-05,2026-03-05,09:00,12:45,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-05,2026-03-05,08:45,16:15,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-05,2026-03-05,16:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-06,2026-03-06,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-06,2026-03-06,09:00,12:45,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-06,2026-03-06,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-06,2026-03-06,08:45,16:15,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-06,2026-03-06,16:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-08,2026-03-08,15:30,18:30,672,Olomouc - OC Šantovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-09,2026-03-09,09:00,17:30,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-10,2026-03-10,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-11,2026-03-11,09:00,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-11,2026-03-11,08:55,10:00,637,Holýšov,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-11,2026-03-11,13:00,17:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-12,2026-03-12,08:45,16:15,573,Březnice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-12,2026-03-12,09:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-12,2026-03-12,15:00,16:15,548,Horažďovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-13,2026-03-13,08:30,18:30,672,Olomouc - OC Šantovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-13,2026-03-13,09:00,12:30,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-13,2026-03-13,09:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-13,2026-03-13,09:00,16:15,317,Úpice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-13,2026-03-13,09:00,12:45,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-13,2026-03-13,16:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-15,2026-03-15,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-16,2026-03-16,13:30,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-16,2026-03-16,16:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-17,2026-03-17,13:30,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-18,2026-03-18,09:00,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-18,2026-03-18,16:00,17:15,556,Plzeň - Skvrňany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-19,2026-03-19,14:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-20,2026-03-20,08:45,16:15,573,Březnice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-20,2026-03-20,13:00,17:30,401,Olomouc - OC Bělidla,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-23,2026-03-23,09:00,12:30,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-23,2026-03-23,13:30,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-23,2026-03-23,15:30,17:00,662,Chodov,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-24,2026-03-24,09:00,12:45,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-24,2026-03-24,13:30,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-24,2026-03-24,14:30,16:30,399,Litovel,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-25,2026-03-25,08:45,17:15,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-25,2026-03-25,09:00,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-26,2026-03-26,07:30,10:30,399,Litovel,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-31,2026-03-31,08:45,16:15,555,Nýřany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-03-31,2026-03-31,09:00,16:00,19,Rosice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-01,2026-04-01,09:00,17:00,19,Rosice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-01,2026-04-01,09:00,17:15,254,Heřmanův Městec,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-01,2026-04-01,16:30,17:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-02,2026-04-02,08:30,17:30,401,Olomouc - OC Bělidla,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-02,2026-04-02,12:00,16:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-02,2026-04-02,08:45,16:15,555,Nýřany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-02,2026-04-02,13:30,16:15,548,Horažďovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-05,2026-04-05,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-05,2026-04-05,11:30,13:30,29,Vaňkovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-07,2026-04-07,14:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-09,2026-04-09,14:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-10,2026-04-10,09:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-15,2026-04-15,08:15,17:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-16,2026-04-16,08:45,16:15,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-16,2026-04-16,09:00,12:45,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-16,2026-04-16,10:15,11:15,625,Blatná,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-16,2026-04-16,13:00,16:15,669,Planá,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-17,2026-04-17,09:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-17,2026-04-17,09:00,16:45,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-17,2026-04-17,09:00,16:15,423,Kravaře,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-17,2026-04-17,13:00,16:15,669,Planá,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-19,2026-04-19,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-20,2026-04-20,08:45,11:30,637,Holýšov,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-20,2026-04-20,16:00,18:00,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-20,2026-04-20,11:00,17:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-21,2026-04-21,09:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-21,2026-04-21,09:00,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-23,2026-04-23,08:15,16:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-23,2026-04-23,09:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-23,2026-04-23,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-23,2026-04-23,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-23,2026-04-23,13:30,16:15,573,Březnice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-24,2026-04-24,09:00,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-27,2026-04-27,09:00,17:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-28,2026-04-28,08:45,12:30,555,Nýřany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-28,2026-04-28,10:00,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-28,2026-04-28,13:30,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-29,2026-04-29,09:00,17:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-30,2026-04-30,09:00,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-30,2026-04-30,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-04-30,2026-04-30,11:15,16:00,19,Rosice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-03,2026-05-03,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-04,2026-05-04,08:30,17:30,401,Olomouc - OC Bělidla,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-04,2026-05-04,09:30,17:00,19,Rosice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-05,2026-05-05,08:15,12:45,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-05,2026-05-05,13:30,16:15,669,Planá,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-05,2026-05-05,09:00,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-06,2026-05-06,09:00,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-06,2026-05-06,15:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-07,2026-05-07,08:15,12:45,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-07,2026-05-07,13:30,16:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-07,2026-05-07,08:15,16:15,651,Toužim,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-07,2026-05-07,09:00,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-07,2026-05-07,13:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-07,2026-05-07,15:30,18:00,187,Jablonec nad Nisou - OC Rýnovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-07,2026-05-07,16:00,18:30,672,Olomouc - OC Šantovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-10,2026-05-10,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-12,2026-05-12,09:00,16:15,317,Úpice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-13,2026-05-13,08:45,17:15,573,Březnice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-13,2026-05-13,09:00,17:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-14,2026-05-14,13:30,16:15,555,Nýřany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,09:00,16:15,234,Pečky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,09:00,17:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,09:00,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,13:30,16:15,326,Choceň,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,14:30,16:15,573,Březnice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,14:30,16:30,399,Litovel,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,13:30,16:15,669,Planá,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-15,2026-05-15,13:30,18:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-16,2026-05-16,11:30,13:30,29,Vaňkovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-17,2026-05-17,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-17,2026-05-17,11:30,13:30,29,Vaňkovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-18,2026-05-18,09:00,17:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-19,2026-05-19,14:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-19,2026-05-19,09:00,16:15,254,Heřmanův Městec,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-20,2026-05-20,14:30,17:15,550,Blovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-21,2026-05-21,08:30,17:30,401,Olomouc - OC Bělidla,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-21,2026-05-21,13:30,16:15,573,Březnice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-22,2026-05-22,08:30,17:30,401,Olomouc - OC Bělidla,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-22,2026-05-22,09:00,11:00,326,Choceň,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-22,2026-05-22,13:30,16:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-22,2026-05-22,12:15,16:15,237,Uhlířské Janovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-23,2026-05-23,11:30,13:30,29,Vaňkovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-24,2026-05-24,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-25,2026-05-25,09:00,17:15,254,Heřmanův Městec,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-26,2026-05-26,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-26,2026-05-26,15:45,16:15,556,Plzeň - Skvrňany,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-28,2026-05-28,09:00,11:30,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-28,2026-05-28,09:00,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-28,2026-05-28,14:30,16:00,215,Semily,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-28,2026-05-28,17:00,19:00,590,Č. Budějovice - OC Globus,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-29,2026-05-29,14:30,16:30,399,Litovel,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-29,2026-05-29,16:00,19:00,590,Č. Budějovice - OC Globus,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-29,2026-05-29,13:30,16:15,234,Pečky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-29,2026-05-29,09:00,16:15,330,Králíky,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-29,2026-05-29,14:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-29,2026-05-29,09:00,16:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-30,2026-05-30,11:30,13:30,29,Vaňkovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-31,2026-05-31,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-05-31,2026-05-31,11:30,13:30,29,Vaňkovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-01,2026-06-01,08:15,17:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-01,2026-06-01,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-01,2026-06-01,08:30,17:30,401,Olomouc - OC Bělidla,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-01,2026-06-01,09:00,17:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-02,2026-06-02,08:45,10:30,637,Holýšov,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-02,2026-06-02,08:45,12:30,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-02,2026-06-02,13:30,16:15,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-02,2026-06-02,08:30,10:00,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-02,2026-06-02,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-03,2026-06-03,09:00,17:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-03,2026-06-03,09:00,17:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-04,2026-06-04,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-04,2026-06-04,08:30,18:30,672,Olomouc - OC Šantovka,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-04,2026-06-04,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-04,2026-06-04,09:00,12:30,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-04,2026-06-04,09:00,16:15,317,Úpice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-04,2026-06-04,08:15,12:45,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-05,2026-06-05,08:15,16:15,619,Vimperk,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-05,2026-06-05,09:00,12:30,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-05,2026-06-05,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-05,2026-06-05,13:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-06,2026-06-06,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-07,2026-06-07,08:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-08,2026-06-08,08:30,18:30,401,Olomouc - OC Bělidla,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-08,2026-06-08,15:30,18:30,398,OC Haná Olomouc,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-08,2026-06-08,12:00,17:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-09,2026-06-09,08:45,11:30,637,Holýšov,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-09,2026-06-09,08:45,12:30,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-09,2026-06-09,13:30,16:15,554,Kralovice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-09,2026-06-09,09:00,16:15,317,Úpice,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-09,2026-06-09,09:00,16:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-10,2026-06-10,09:00,17:15,239,Zruč nad Sázavou,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
2026-06-10,2026-06-10,09:00,17:15,327,Letohrad,,Žádost o jednočlenný provoz pobočky,historicka_data_2026
